,Compound Score,Date,Negative Score,Neutral Score,News Organization,Positive Score,Tweets Ago
195,-0.3182,Tue Jul 31 08:18:03 +0000 2018,0.173,0.827,@CBSNews,0.0,95
196,-0.6486,Tue Jul 31 08:03:05 +0000 2018,0.301,0.699,@CBSNews,0.0,96
197,0.7269,Tue Jul 31 07:48:04 +0000 2018,0.0,0.567,@CBSNews,0.433,97
198,-0.7269,Tue Jul 31 07:33:03 +0000 2018,0.357,0.643,@CBSNews,0.0,98
199,0.0,Tue Jul 31 07:18:04 +0000 2018,0.0,1.0,@CBSNews,0.0,99
200,-0.4588,Thu Aug 02 00:41:52 +0000 2018,0.125,0.875,@CNN,0.0,0
201,0.4767,Thu Aug 02 00:41:07 +0000 2018,0.0,0.846,@CNN,0.154,1
202,0.0,Thu Aug 02 00:40:42 +0000 2018,0.0,1.0,@CNN,0.0,2
203,-0.1779,Thu Aug 02 00:35:00 +0000 2018,0.099,0.83,@CNN,0.071,3
204,0.0,Thu Aug 02 00:34:54 +0000 2018,0.0,1.0,@CNN,0.0,4
205,0.4019,Thu Aug 02 00:09:54 +0000 2018,0.0,0.886,@CNN,0.114,5
206,0.5423,Thu Aug 02 00:05:00 +0000 2018,0.0,0.791,@CNN,0.209,6
207,0.0,Thu Aug 02 00:02:40 +0000 2018,0.0,1.0,@CNN,0.0,7
208,0.296,Wed Aug 01 23:58:41 +0000 2018,0.0,0.896,@CNN,0.104,8
209,0.2263,Wed Aug 01 23:45:05 +0000 2018,0.0,0.905,@CNN,0.095,9
210,0.0,Wed Aug 01 23:43:35 +0000 2018,0.0,1.0,@CNN,0.0,10
211,0.4019,Wed Aug 01 23:19:10 +0000 2018,0.0,0.863,@CNN,0.137,11
212,0.3612,Wed Aug 01 23:16:08 +0000 2018,0.0,0.878,@CNN,0.122,12
213,-0.6908,Wed Aug 01 23:14:53 +0000 2018,0.206,0.794,@CNN,0.0,13
214,-0.8074,Wed Aug 01 23:13:15 +0000 2018,0.283,0.717,@CNN,0.0,14
215,0.1321,Wed Aug 01 22:51:04 +0000 2018,0.17,0.68,@CNN,0.15,15
216,-0.5859,Wed Aug 01 22:41:08 +0000 2018,0.22,0.78,@CNN,0.0,16
217,0.128,Wed Aug 01 22:29:15 +0000 2018,0.0,0.909,@CNN,0.091,17
218,0.296,Wed Aug 01 22:28:51 +0000 2018,0.0,0.864,@CNN,0.136,18
219,-0.296,Wed Aug 01 22:28:15 +0000 2018,0.087,0.913,@CNN,0.0,19
220,0.0,Wed Aug 01 22:27:43 +0000 2018,0.0,1.0,@CNN,0.0,20
221,0.0,Wed Aug 01 22:21:07 +0000 2018,0.0,1.0,@CNN,0.0,21
222,0.0,Wed Aug 01 22:11:06 +0000 2018,0.0,1.0,@CNN,0.0,22
223,0.0,Wed Aug 01 22:06:19 +0000 2018,0.0,1.0,@CNN,0.0,23
224,0.0,Wed Aug 01 22:01:12 +0000 2018,0.0,1.0,@CNN,0.0,24
225,0.0,Wed Aug 01 21:51:09 +0000 2018,0.0,1.0,@CNN,0.0,25
226,-0.296,Wed Aug 01 21:43:17 +0000 2018,0.104,0.896,@CNN,0.0,26
227,0.0,Wed Aug 01 21:41:04 +0000 2018,0.0,1.0,@CNN,0.0,27
228,0.5267,Wed Aug 01 21:29:45 +0000 2018,0.0,0.815,@CNN,0.185,28
229,-0.7906,Wed Aug 01 21:23:37 +0000 2018,0.325,0.594,@CNN,0.08,29
230,0.7096,Wed Aug 01 21:10:09 +0000 2018,0.0,0.731,@CNN,0.269,30
231,0.2023,Wed Aug 01 21:08:09 +0000 2018,0.0,0.904,@CNN,0.096,31
232,-0.5574,Wed Aug 01 21:04:31 +0000 2018,0.187,0.813,@CNN,0.0,32
233,-0.4215,Wed Aug 01 21:00:08 +0000 2018,0.167,0.833,@CNN,0.0,33
234,0.0,Wed Aug 01 20:48:38 +0000 2018,0.0,1.0,@CNN,0.0,34
235,-0.4404,Wed Aug 01 20:44:35 +0000 2018,0.116,0.884,@CNN,0.0,35
236,0.4577,Wed Aug 01 20:40:09 +0000 2018,0.116,0.625,@CNN,0.26,36
237,0.0,Wed Aug 01 20:25:00 +0000 2018,0.0,1.0,@CNN,0.0,37
238,0.0,Wed Aug 01 20:20:08 +0000 2018,0.0,1.0,@CNN,0.0,38
